"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 26 21:24:06 UTC 2026","Sat Sep 26 21:24:06 UTC 2026","715","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.MasterAPITest","com.api.tests.MasterAPITest","masterAPITest","Verifying if master API is giving response","Verifying if master API is giving response"
"failed","Sat Sep 26 21:24:07 UTC 2026","Sat Sep 26 21:24:08 UTC 2026","490","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.CreateJobAPIWithDBValidationWithResponseModelTest","com.api.tests.CreateJobAPIWithDBValidationWithResponseModelTest","createJobAPITest","Verifying if create job API is able to create Inwarranty job",""
"passed","Sat Sep 26 21:24:03 UTC 2026","Sat Sep 26 21:24:03 UTC 2026","635","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.CountAPITest","com.api.tests.CountAPITest","verifyCountAPIResponse","Verifying if count API is giving reponse","Verifying if count API is giving response"
"failed","Sat Sep 26 21:24:03 UTC 2026","Sat Sep 26 21:24:05 UTC 2026","1789","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.DetailsAPITest","com.api.tests.DetailsAPITest","detailAPITest","Verify if Details API is working properly","Verify if Details API is working properly"
"failed","Sat Sep 26 21:24:07 UTC 2026","Sat Sep 26 21:24:07 UTC 2026","495","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.CreateJobAPIWithDBValidationTest","com.api.tests.CreateJobAPIWithDBValidationTest","createJobAPITest","Verifying if create job API is able to create Inwarranty job",""
"passed","Sat Sep 26 21:24:02 UTC 2026","Sat Sep 26 21:24:03 UTC 2026","653","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.CountAPITest","com.api.tests.CountAPITest","countAPITest_MissingAuthToken","Verifying if count API is giving correct status code for Invalid token",""
"passed","Sat Sep 26 21:24:01 UTC 2026","Sat Sep 26 21:24:02 UTC 2026","1163","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.UserDetailsAPITest","com.api.tests.UserDetailsAPITest","userDetailsAPITest","Verify if the UserDetails API response is shown correctly","Verify if the UserDetails API response is shown correctly"
"passed","Sat Sep 26 21:24:05 UTC 2026","Sat Sep 26 21:24:06 UTC 2026","553","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.MasterAPITest","com.api.tests.MasterAPITest","InvalidTokenMasterAPITest","Verifying if master API is giving correct status code for invalid token",""
"passed","Sat Sep 26 21:23:57 UTC 2026","Sat Sep 26 21:24:01 UTC 2026","3756","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.LoginAPITest","com.api.tests.LoginAPITest","loginAPITest","Verifying if login API is working for FD user","Verify if FD user is able to login via api"
"failed","Sat Sep 26 21:24:06 UTC 2026","Sat Sep 26 21:24:07 UTC 2026","535","Phoenix API Test Suite","Inwarranty Flow Test","com.api.tests.CreateJobAPITest","com.api.tests.CreateJobAPITest","createJobAPITest","Verifying if create job API is able to create Inwarranty job",""
